,Artist,Song,Class,probability_vector,label_vector
72,Mouth and MacNeal,I See A Star,Happy,"[0.18261587619781494, 0.37557968497276306, 0.3381062150001526, 0.28503796458244324, 0.010753214359283447, 0.1204221248626709, 0.058842211961746216]","[0, 1, 0, 0, 0, 0, 0]"
73,Bob Marley,Everything's Gonna Be Alright,Happy,"[0.41347256302833557, 0.34358447790145874, 0.3092888593673706, 0.3532673716545105, 0.044655799865722656, 0.1908983290195465, 0.09375959634780884]","[1, 0, 0, 0, 0, 0, 0]"
74,Tracy Byrd,I'm From The Country,Happy,"[0.3502920866012573, 0.2593882083892822, 0.1791764795780182, 0.2871440649032593, 0.003773123025894165, 0.0726710855960846, 0.3405154049396515]","[1, 0, 0, 0, 0, 0, 0]"
75,Dolly Parton,Why'd You Come In Here,Happy,"[0.28073006868362427, 0.23947346210479736, 0.16777095198631287, 0.2529849410057068, 0.0026361942291259766, 0.04412594437599182, 0.0851697325706482]","[1, 0, 0, 0, 0, 0, 0]"
76,Jim Reeves,Mexican Joe,Happy,"[0.368704617023468, 0.18836447596549988, 0.1743566393852234, 0.2375691831111908, 0.001056373119354248, 0.04116329550743103, 0.03382006287574768]","[1, 0, 0, 0, 0, 0, 0]"
77,Waylon Jennings,Goin' Down Rockin',Happy,"[0.36308562755584717, 0.24800726771354675, 0.2512003183364868, 0.312764048576355, 0.007457822561264038, 0.08146640658378601, 0.02725204825401306]","[1, 0, 0, 0, 0, 0, 0]"
78,Shaggy,Hope,Happy,"[0.2434404194355011, 0.15983781218528748, 0.07314926385879517, 0.1342717707157135, 3.7855217669857666e-05, 0.010310620069503784, 0.0033566951751708984]","[1, 0, 0, 0, 0, 0, 0]"
79,Shaggy,Strength Of A Woman,Happy,"[0.3822851777076721, 0.24003592133522034, 0.225906103849411, 0.21517890691757202, 0.0052797794342041016, 0.02251550555229187, 0.1396215260028839]","[1, 0, 0, 0, 0, 0, 0]"
80,Zac Brown Band,Toes,Happy,"[0.34263139963150024, 0.10280799865722656, 0.053099125623703, 0.08532321453094482, 4.784752491104882e-06, 0.007254809141159058, 0.02432766556739807]","[1, 0, 0, 0, 0, 0, 0]"
81,Rick Nelson,Garden Party,Happy,"[0.2849733829498291, 0.25222599506378174, 0.2405674159526825, 0.31044963002204895, 0.0029119551181793213, 0.04566258192062378, 0.23205071687698364]","[0, 0, 0, 1, 0, 0, 0]"
